"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"Sri Lanka",18.64,-0.1831642,7,5.56,6.25,6.47,55.6488940436462,26.3859066192691,3.5781696792194,2.41409866202615,-0.113549873232841,-0.184370413422585,-0.319470077753067,0.7143,4.519,0.78,4.1
"Sudan",15.13,-1.835869,0,5.56,5,1.18,NA,NA,NA,NA,-1.62190473079681,-1.67383432388306,-1.36698496341705,0.2143,17.316,0.507,46.5
"Sweden",49.3,0.9136876,9.58,8.33,10,9.41,37.5391848522511,25.1364837125472,2.56792452526476,1.19514757132167,1.82990062236786,1.80167484283447,2.11847805976868,0.8214,NA,NA,NA
"Switzerland",33.7,1.344863,9.58,7.78,9.38,9.12,30.4765367348679,24.4244327158909,1.79940898587698,0.853880295768178,1.95212006568909,1.66447913646698,1.977294921875,0.9048,NA,NA,NA
"Tajikistan",35.63,-0.7243188,0.08,1.67,6.25,0.88,NA,NA,NA,NA,-1.04900538921356,-1.01106548309326,-1.32117259502411,0.3452,11.501,0.656,31.3
"Tanzania",16.52,-0.5591016,5.75,5,5.63,4.41,42.6766646193161,35.4598039791036,6.78568011405196,3.64001088107275,NA,NA,NA,NA,2.103,0.528,28.2
"Thailand",21.6,-0.733099,7.42,6.11,6.25,6.47,43.2983170771208,23.1158312783783,4.06625034855084,3.70759319747143,0.357056349515915,0.11610496789217,-0.407398492097855,0.7738,0.597,0.765,8.6
"Timor-Leste",55.14,0.298182,9.58,5.56,6.88,7.65,6.98278190981084,32.428637839488,-3.79864861152001,-5.65363722359426,-0.884692370891571,-0.784346997737885,-0.382982701063156,0.4881,NA,NA,NA
"Togo",24.67,-0.9817027,3.17,3.33,5,3.24,47.0845767550275,23.7758843413131,4.35741391467567,1.80187236346762,-0.917334675788879,-0.678981721401215,-0.749716758728027,0.5119,2.204,0.513,55.1
"Tunisia",28.88,-0.9018921,9.17,7.22,5.63,5.88,NA,NA,NA,NA,-0.102273888885975,-0.437205225229263,-0.077050469815731,0.6905,15.218,0.739,15.2
"Turkey",34.61,-1.328783,3.08,5,5,2.35,38.4169790584657,30.0791088960001,7.47086689265535,5.77447287106783,0.0483859702944756,-0.00731689296662807,-0.290970057249069,0.8929,10.236,0.806,13.5
"Uganda",20.12,-0.6914156,4.33,4.44,6.88,5.88,47.835191457529,24.0524228864223,3.89774765681456,0.0738554799874436,-0.585200130939484,-0.37422439455986,-1.16562569141388,0.5714,1.859,0.528,21.4
"Ukraine",41.74,-1.826185,7.42,6.67,6.25,6.47,43.9925787102004,15.7622519925386,2.46603562470679,2.91717540040885,-0.296582520008087,-0.258670091629028,-0.709597170352936,0.8095,9.14,0.75,2.4
"United Arab Emirates",30.57,0.7432382,0,2.22,5,2.65,1.31561237984335,18.9768076182667,2.37353670828251,1.01150251085575,1.37722086906433,0.979325234889984,1.10634207725525,0.9405,NA,NA,NA
"Uruguay",33.21,1.046509,10,6.11,7.5,9.71,30.4726168269865,16.4733921971761,2.59133869422379,2.2177686458628,0.695738792419434,0.509408414363861,1.24651086330414,0.8571,7.488,0.808,7.9
"Uzbekistan",25.65,-0.283422,0.08,2.22,5,0.88,38.6080927714983,25.5535202604071,4.46152609017476,2.71763017750928,-0.514649033546448,-0.993292510509491,-1.053790807724,0.8095,5.15,0.71,14.1
"Zambia",25.19,0.1419944,4.75,4.44,6.88,6.47,36.8945167456754,38.8084620473107,3.50432594764749,0.493954923967465,-0.675214529037476,-0.554269134998322,-0.640345096588135,0.3095,10.105,0.591,54.4
